"dur","start_time","mouse_trace_x","mouse_trace_y","interruptedResponse","pixperrefresh","refreshRate","angle","side","start_position","splitTime","fixTime","speed","subjectID","test_part","trialID","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"2001.1000000238419","70329.10000002384","[1043,1036,1027,1019,1010,1004,1000,997,993,987,972,958,940,923,907,894,873,862,850,834,821,804,784,759,738,718,701,685,670,660,652,644,637,628,619,610,596,576,560,540,519,498,482,470,458,445,436,428,420,410,403,397,390,383,369,352,335,319,308]","[469,469,469,469,469,469,469,469,469,469,469,471,472,472,472,472,472,472,471,470,469,468,467,466,466,466,466,466,466,466,466,466,466,466,466,467,468,468,470,472,475,477,478,478,478,478,478,478,478,475,473,471,469,466,463,462,462,462,462]","false","13.167000000000002","33","45","r","300","862.9442352680094","0","399","AB","trial","9","manual-tracking","24","72277","0.0-0.0-0.12","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","25","73779","0.0-0.0-1.12","null","<p>Well done.</p>","null"
"2001.3999999761581","75146.60000002384","[434,441,446,453,460,467,473,481,493,506,527,544,566,592,616,642,655,666,678,686,691,697,704,716,731,750,772,798,820,841,859,874,884,895,904,911,926,932,949,962,975,987,1002,1020,1045,1065,1083,1101,1119,1134,1164,1187,1199,1201,1202,1202,1202,1202,1202]","[466,466,466,466,466,466,466,466,466,466,466,466,466,465,464,464,465,466,468,470,471,472,472,472,472,472,471,470,468,467,466,466,466,467,469,470,472,472,474,474,475,475,475,477,481,483,484,484,483,482,482,482,482,482,482,482,482,482,482]","false","13.167000000000002","33","315","l","-300","866.8505627468144","0","399","AB","trial","39","manual-tracking","26","77095","0.0-0.0-0.13","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","27","78597","0.0-0.0-1.13","null","<p>Well done.</p>","null"
"2001.2000000476837","79962","[1038,1038,1037,1035,1032,1027,1018,1007,991,972,942,918,896,877,859,843,829,817,803,792,771,755,738,720,703,686,670,649,633,617,603,590,578,567,553,544,532,519,507,495,484,475,464,450,433,405,390,376,366,354,338,326,316,307,303,303,303,303,303]","[469,469,469,469,469,469,469,469,469,470,472,474,474,474,474,474,474,474,474,473,472,471,471,470,469,468,468,468,468,468,469,470,471,472,473,474,474,474,474,474,474,472,470,470,470,470,470,469,466,463,461,459,456,456,457,460,460,460,460]","false","13.167000000000002","33","270","r","300","1133.4321144346666","0","399","AB","trial","78","manual-tracking","28","81910","0.0-0.0-0.14","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","29","83415","0.0-0.0-1.14","null","<p>Well done.</p>","null"
"2001.1999999284744","85362.60000002384","[436,436,439,445,450,454,460,471,486,520,542,567,579,611,629,642,653,666,677,685,693,703,713,727,741,755,769,785,798,812,825,842,863,881,901,918,933,946,961,974,983,991,999,1007,1018,1027,1038,1053,1072,1088,1100,1110,1124,1150,1194,1212,1219,1220,1220]","[470,470,470,470,470,470,470,470,470,471,472,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,472,472,471,471,471,471,471,473,475,477,478,479,480,481,483,484,485,485,485,485,485,485,486,486,486,486,484,484,484]","false","13.167000000000002","33","225","l","-300","905.1092929972315","0","399","AB","trial","21","manual-tracking","30","87310","0.0-0.0-0.15","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","31","88812","0.0-0.0-1.15","null","<p>Well done.</p>","null"
"2000.8999999761581","90495.89999997616","[424,425,428,434,441,448,458,468,487,508,534,556,577,596,615,630,645,666,678,692,702,716,729,743,756,767,786,800,815,830,844,858,875,893,912,933,949,973,984,996,1008,1016,1025,1043,1064,1086,1105,1127,1147,1165,1179,1190,1198,1201,1202,1202,1202,1202,1202]","[448,448,448,448,448,448,448,448,448,448,448,449,450,450,450,451,451,452,453,454,455,457,458,460,462,463,465,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,463,460,459,459,459,459,461,463,466,469,470,470,470,470,470,470]","false","13.167000000000002","33","0","l","-300","1170.053179188525","0","399","AB","trial","64","manual-tracking","32","92443","0.0-0.0-0.16","","",""
"","","","","","","","","","","","","","","feedback","","html-button-response","33","94023","0.0-0.0-1.16","null","<p>Well done.</p>","null"
